ID,Sentence,Article_ID,Article,Votes_Complexity,MOS_Complexity,Std_Complexity,Votes_Understandability,MOS_Understandability,Std_Understandability,Vote_Lexical_difficulty,MOS_Lexical_difficulty,Std_Lexical_difficulty
20,Bei abnehmender Schichtdicke wird die Seifenhaut zunächst farblos und zum Schluss dunkel.,1,Seifenblase,8,3.75,0.707106781,8,3.5,0.9258201,9,3.666666667,1.414213562
22,Die Blasenwand ist dicker und gleichmäßiger und übersteht auch einen Nadelstich.,1,Seifenblase,10,3.5,1.900292375,10,3.6,1.712697677,10,4.7,1.418136492
23,"Die Erzeugung von Seifenblasen ist möglich, da die Oberfläche einer Flüssigkeit – in diesem Falle des Wassers – eine Oberflächenspannung besitzt, die zu einem elastischen Verhalten der Oberfläche führt.",1,Seifenblase,10,4.4,1.505545305,9,3.444444444,1.333333333,10,4.6,1.505545305
25,Das Gegenteil ist jedoch der Fall: Die Oberflächenspannung des Seifenwassers ist nur etwa ein Drittel so groß wie die des Wassers.,1,Seifenblase,9,2.555555556,0.726483157,10,2.8,1.316561177,10,3.4,1.349897115
26,"Seifenblasen mit reinem Wasser zu machen ist so schwierig, weil die Oberflächenspannung zu hoch ist, wodurch die Blase sofort zerplatzt.",1,Seifenblase,18,3.333333333,1.414213562,18,2.777777778,1.628985811,18,3.444444444,1.338226316
27,"Zusätzlich verlangsamt die Seife die Verdunstung, so dass die Blasen länger halten.",1,Seifenblase,9,3.111111111,1.615893286,9,3.222222222,1.855921454,9,3.666666667,1.802775638
29,Die Oberflächenspannung ist ebenfalls der Grund für die kugelförmige Gestalt der Seifenblasen.,1,Seifenblase,8,2.125,0.640869944,10,2.4,1.505545305,10,2.9,1.197219
30,"Durch Minimierung der Oberfläche zwingt sie die Blase in diese Form, da von allen möglichen Formen zu einem gegebenen Volumen die Kugel die kleinste Oberfläche aufweist.",1,Seifenblase,9,3.666666667,1.802775638,9,3.888888889,1.763834207,6,3.333333333,0.816496581
32,Aufgrund ihres geringen Eigengewichts kommen Seifenblasen diesem Ideal in der Realität sehr nahe.,1,Seifenblase,14,2.357142857,1.008208072,15,3,1.603567451,15,3.133333333,1.641718032
33,"Der Begriff Badekultur oder Badewesen bezieht sich auf das Baden in warmem oder kaltem Wasser, das in erster Linie der Reinigung dient, aber auch der Förderung der Gesundheit und des Wohlbefindens.",2,Badekultur,7,3,0.577350269,10,3.2,1.87379591,10,3.6,1.505545305
34,"Das Dampfbad, heute zur Sauna gezählt, diente ebenfalls diesem Zweck.",2,Badekultur,9,1.555555556,0.527046277,9,1.777777778,1.092906421,10,2.8,1.87379591
35,"Die Ursprünge der europäischen Badekultur liegen in der Antike, als öffentliche Thermen auch eine wichtige soziale Funktion hatten.",2,Badekultur,10,1.7,0.823272602,10,1.3,0.483045892,10,1.6,0.699205899
36,Mit der Völkerwanderung kam der Zerfall der römischen Badekultur.,2,Badekultur,9,1.666666667,0.866025404,10,2.8,1.475729575,10,3.2,1.686548085
37,Im Byzantinischen Reich dagegen blieb die Tradition bestehen und wurde später von den islamischen Eroberern fortgeführt (etwa in Gestalt des hamm?m).,2,Badekultur,9,2,0.707106781,10,2.1,1.100504935,10,2.5,0.849836586
38,"Im Mittelalter wurde die Tradition auch in Europa wieder aufgenommen, mit den im Vergleich zu den Thermen allerdings bescheiden dimensionierten Badehäusern.",2,Badekultur,9,2.444444444,1.013793755,9,2.555555556,1.013793755,9,3,1.118033989
40,Über private Badezimmer verfügte die große Masse der europäischen Bevölkerung erst ab dem 20Jahrhundert.,2,Badekultur,10,1.8,0.788810638,9,1.333333333,0.5,6,2,0
41,Die Bedeutung des Bades in verschiedenen Epochen war immer eng mit den jeweils herrschenden Vorstellungen von Hygiene verknüpft.,2,Badekultur,10,2.2,1.229272594,9,1.444444444,0.726483157,9,2.333333333,1
43,"In Mohenjo-Daro lag ein Bad auf der „Zitadelle“ und befand sich in einem Gebäude mit einem 7 × 12 m großen und 2,4 m tiefen Becken, in das zwei Treppen hinabführten.",2,Badekultur,9,2.444444444,0.726483157,10,2.9,1.791957341,10,3.3,1.567021236
44,Die Wasserversorgung erfolgte über Brunnen.,2,Badekultur,9,1.444444444,0.527046277,9,1.444444444,0.527046277,5,2,0
45,"Die Größe der Anlage deutet an, dass dieses Bad nicht nur der Körperreinigung, sondern wohl auch rituellen Zwecken und dem Vergnügen am Baden dienen sollte.",2,Badekultur,12,3,1.414213562,12,2.583333333,1.443375673,12,3,1.477097892
46,"Aber nicht nur in diesem wohl öffentlichen Gebäude fand man Badeeinrichtungen, sondern auch in vielen Häusern der Stadt, die auf ein ausgeprägtes Hygienebedürfnis der Bewohner, vielleicht aber auch auf rituelle Waschungen schließen lassen.",2,Badekultur,11,4.181818182,1.662418829,11,3.272727273,1.348399725,9,4,0.707106781
47,"Weitere frühe Badeanlagen sind aus dem Alten Reich des Alten Ägyptens (ca 2700–2200 v Chr), aus Mari in Mesopotamien (um 2000 v Chr), auch aus Knossos in der Minoischen Kultur (um 2000 v Chr) sowie aus der Mykenischen Kultur (ab ca 1600 v Chr) bekannt.",2,Badekultur,9,2.777777778,1.6414763,9,2.555555556,1.810463415,9,2.777777778,1.855921454
48,Im antiken Griechenland und bei den Römern hatte die Badekultur einen sehr hohen Stellenwert.,2,Badekultur,10,1.8,1.135292424,8,1.125,0.353553391,9,1.555555556,0.726483157
50,"Die im späten 8 Jahrhundert v Chr niedergeschriebene Odyssee, die die Abenteuer des Königs Odysseus von Ithaka und seiner Gefährten auf der Heimkehr aus dem Trojanischen Krieg schildert, belegt in zahlreichen Versen den hohen Stellenwert, den die Griechen einer Reinigung mit Wasser beimaßen.",2,Badekultur,7,4.285714286,0.951189731,7,3,1.632993162,7,4,1.290994449
51,"So schildert der achte Gesang beispielsweise, wie im Hause des Phaiakenkönigs Alkinoos Odysseus von den Haussklaven ein Bad zubereitet wird, bevor er sich an der Tafel seines Gastgebers niederlässt.",2,Badekultur,10,4.3,1.059349905,10,3.8,1.316561177,10,4.4,1.173787791
52,"Vergleichbare Stellen belegen eine sorgfältige Reinigung vor Gebeten und Opfern und die Sitte, dem Gast zunächst Wasser zu reichen, damit er sich seine Hände waschen könne und ihm anschließend ein Bad anzubieten.",2,Badekultur,10,4.7,0.823272602,9,3.222222222,0.971825316,10,4.5,1.08012345
53,Im 5 Jahrhundert v Chr entstanden öffentliche Badeanstalten mit einem Becken und Wannen sowie einem Salbraum (griechisch ????????? balaneion „Badstube“ bzw ??????? lutron „Bad“).,2,Badekultur,10,2.9,1.197219,12,3.166666667,2.081665999,11,3.090909091,1.640399065
54,Ab dem 4 Jahrhundert wurden öffentliche Bäder zu einer verbreiteten Einrichtung in griechischen Städten.,2,Badekultur,11,2,1.183215957,11,1.909090909,1.375103302,10,1.9,0.994428926
55,"Ein bestimmtes Bauschema scheint es nicht gegeben zu haben, man findet Räume mit meist 10 bis 22 Wannen oder Sitzwannen sowohl in rechteckiger (zum Beispiel in Olympia) als auch kreisbogenförmiger Anordnung (zum Beispiel in Gortyn, Gela und Megara Hyblaea).",2,Badekultur,10,3.6,0.966091783,10,4.2,1.475729575,10,4.3,1.418136492
57,Neben diesen öffentlichen Bädern gab es auch in Privathäusern bereits Badezimmer.,2,Badekultur,10,1.5,0.707106781,9,1.222222222,0.440958552,9,1.555555556,0.726483157
58,Häufig enthielten sie nur ein Waschbecken in Hüfthöhe.,2,Badekultur,10,3.4,1.897366596,10,3.6,1.646545205,10,3.8,2.043961296
61,Es gab außerdem trockene Heißluftbäder.,2,Badekultur,11,1.545454545,0.820199532,11,1.454545455,0.687551651,12,2.25,1.422226168
62,"Das waren kleine Räume, in denen ein Becken mit Holzkohle für Hitze sorgte.",2,Badekultur,14,2.285714286,1.266647388,14,2.214285714,1.188313053,14,2.5,1.2860195
63,300 Jahre später wurde das so genannte Hypokaustum zur Beheizung der Badeanlagen eingeführt.,2,Badekultur,17,2.352941176,1.411611511,17,2.705882353,1.311711948,17,3.411764706,1.697749375
65,"Da die Athleten sich für die Wettkämpfe mit Sand und Öl einrieben, wurden Schweiß und Schmutz hinterher mit einer Strigilis (Hautschaber) und Wasser entfernt.",2,Badekultur,14,3.571428571,1.398586414,14,2.928571429,1.591529778,14,3.642857143,1.645840578
66,"Es gibt keine Belege, dass Gymnasia vor der römischen Zeit ihren Nutzern bereits heißes Wasser anboten, obwohl dieses zur Entfernung des Öls und Schmutzes besser geeignet gewesen wäre.",2,Badekultur,10,3.7,1.159501809,8,3.625,0.916125381,10,4.5,0.849836586
67,"Die griechischen Sportstätten mit integrierten Bädern waren allerdings bereits zu diesem Zeitpunkt Begegnungsstätten, in denen man sich stundenlang aufhielt.",2,Badekultur,12,4.75,0.965307299,14,3.785714286,1.717716348,14,4.714285714,1.589802669
69,Die Vorliebe für warme Bäder war in der griechischen Gesellschaft nicht ohne Kritik.,2,Badekultur,15,1.733333333,0.883715102,15,1.666666667,0.816496581,15,2.066666667,1.099783528
70,"Der griechische Komödiendichter Aristophanes (um 450 bis 380 v Chr) zweifelt in Die Wolken daran, ob die sich in warmen Bädern verweichlichenden Griechen noch über die Manneskraft verfügten, die ihre Vorfahren in der Schlacht bei Marathon erfolgreich sein ließen.",2,Badekultur,10,3.9,1.370320319,10,3.8,1.932183566,10,4.3,1.494434118
71,"Platon (um 428 bis 348 v Chr) plädierte in seinem Dialog Nomoi dafür, heiße Bäder auf Alte und Kranke zu beschränken.",2,Badekultur,9,2.333333333,1,9,2.444444444,1.013793755,8,2.625,0.916125381
72,"Noch rigoroser in ihrer Ablehnung waren die Spartaner, die in ihrer Ablehnung warmer Bäder sich auf ihren mythischen Staatsgründer Lykurg beriefen und in ihnen eine Gefahr für die Kriegsfähigkeit ihres Staates sahen.",2,Badekultur,10,5,0.942809042,9,4.333333333,0.866025404,11,4.727272727,1.420627262
73,"Griechische Ärzte wandten bereits Hydrotherapie an, die sie von den Ägyptern übernommen hatten.",2,Badekultur,15,2.133333333,0.990430402,15,2.4,1.352246808,15,2.8,1.61245155
74,Hippokrates war ein bekannter Befürworter der Kaltwasserbehandlungen.,2,Badekultur,14,2.285714286,1.069044968,14,2,1.109400392,14,2.357142857,1.392681026
75,Er empfahl kalte Wassergüsse bei Rheuma und Gicht sowie kalte Wickel gegen Fieber.,2,Badekultur,14,3.071428571,1.328057327,13,2.615384615,0.869718493,14,3.5,1.698415551
76,"Außerdem waren bereits zahlreiche Heilquellen bekannt, von denen viele Göttern geweiht waren.",2,Badekultur,8,3.625,0.916125381,10,3.4,1.429840706,10,4,1.699673171
77,"An besonders wirksamen Quellen wurden so genannte Asklepios-Tempel errichtet, die von Kranken aufgesucht wurden und die im Grunde schon Sanatorien waren.",2,Badekultur,10,3.3,1.059349905,10,2.8,1.475729575,10,3.7,1.636391694
78,Der berühmteste dieser Tempel befand sich in der Stadt Epidauros.,2,Badekultur,11,1.454545455,0.522232968,11,1.636363636,0.809039835,11,2,0.894427191
80,"Der Ausdruck Fahrradfahren – auch Radfahren oder Radeln, schweizerisch Velofahren – bezeichnet die Fortbewegung auf einem Fahrrad, sei es als Verkehrsmittel im Radverkehr oder als Sportart, die als Freizeitbeschäftigung, zur Erhaltung der Gesundheit oder als sportlicher Wettkampf bis hin zum Leistungssport betrieben wird.",3,Fahrradfahren,3,4,0,5,2.6,1.140175425,4,4,0
81,Die Durchschnittsgeschwindigkeiten beim Fahrradfahren liegen für gewöhnlich bei 10 bis 25 km/h.,3,Fahrradfahren,9,1.555555556,0.881917104,7,1,0,9,2.444444444,1.333333333
82,"Ein Fahrrad mit limitierter Tretunterstützung („Pedelec“) unterstützt den Fahrer bis zu einer Geschwindigkeit von 25 km/h, bestimmte Modelle sogar bis 45 km/h (S-Pedelec).",3,Fahrradfahren,9,2.333333333,1,8,2.25,1.035098339,8,2.375,1.060660172
83,Bei der Tour de France liegt die höchste Durchschnittsgeschwindigkeit eines Fahrers bei 41 km/h.,3,Fahrradfahren,10,1.3,0.483045892,9,1,0,8,1,0
84,Bei Abfahrten werden teilweise Geschwindigkeiten über 100 km/h erreicht.,3,Fahrradfahren,10,1.4,0.516397779,9,1.555555556,0.726483157,9,1.777777778,0.833333333
85,"Ohne Höhenunterschiede werden höhere Durchschnittsgeschwindigkeiten erreicht: Der Stundenweltrekord für normale Fahrräder liegt seit 2005 bei 50 km/h, mit besonders aerodynamischen Fahrrädern bei 56 km/h.",3,Fahrradfahren,15,2.933333333,1.279880947,15,2.666666667,1.290994449,15,3,1.253566341
86,"Der Geschwindigkeitsweltrekord, der in Bergabfahrt auf einem speziell angefertigten Mountainbike ohne Hilfsantrieb erreicht wurde, liegt bei 223,3 km/h.",3,Fahrradfahren,10,3.3,1.251665557,10,2.7,1.33749351,10,2.9,1.449137675
87,Der allgemeine Stundenweltrekord für ausschließlich mit eigener Muskelkraft betriebene Fahrzeuge liegt deutlich über dem Rekord mit einem klassischen Rennrad.,3,Fahrradfahren,11,3.272727273,0.904534034,10,2.3,0.823272602,9,3.333333333,0.866025404
88,"Die Französin Barbara Buatois fuhr mit einem vollverkleideten Liegerad am 19 Juli 2009 im US-amerikanischen Romeo eine Strecke von 84,02 km, womit sie als erste Frau eine Strecke von mehr als 80 km in einer Stunde mit einem Liegerad zurücklegte.",3,Fahrradfahren,9,3.666666667,1,10,3.6,1.897366596,10,4.3,1.888562063
89,"Den aktuellen Stundenweltrekord der Männer hält der Schweizer Francesco Russo; er fuhr am 26 Juni 2016 im deutschen Klettwitz 92,43 km.",3,Fahrradfahren,10,2.6,1.349897115,10,2,1.054092553,10,2.6,1.349897115
90,Ohne Eingriffe durch den Fahrer würde ein Rad innerhalb kürzester Zeit umfallen.,3,Fahrradfahren,8,2.125,0.991031209,8,1.5,0.755928946,7,1.428571429,0.534522484
91,Der Fahrer hält das System Fahrrad/Fahrer mit kleinen Lenkausschlägen im Gleichgewicht.,3,Fahrradfahren,10,2.8,1.549193338,10,3.6,1.646545205,10,4.5,1.509230856
92,In den letzten Jahren wurden durch die Zunahme des Radfahrens auch vermehrt die medizinischen Aspekte des Fahrradfahrens untersucht.,3,Fahrradfahren,9,2.222222222,0.971825316,9,2.111111111,1.054092553,9,2.444444444,1.013793755
93,Generell gilt Fahrradfahren als sehr gesund (Herz- und Kreislauftraining) und gelenkschonend.,3,Fahrradfahren,8,1.875,0.640869944,10,3,1.825741858,10,4.1,1.663329993
94,"Dabei kommt es aber darauf an, eine gute Ergonomie für den gesamten Körper herzustellen.",3,Fahrradfahren,10,3.1,1.728840331,10,2.9,1.791957341,10,2.8,1.475729575
95,Nicht alle Arten des Radfahrens erreichen dies in gleicher Weise.,3,Fahrradfahren,10,1.7,0.674948558,10,1.7,0.674948558,10,2.4,1.0749677
96,"Untersuchungen unter anderem des ADFC haben ergeben, dass die Haltung auf dem sogenannten Reiserad bei richtiger Rahmengröße und richtigem Sattel die Haltung ist, die der menschlichen Anatomie am stärksten entgegenkommt.",3,Fahrradfahren,18,4.722222222,1.274434387,18,4.277777778,1.564516672,18,4.722222222,1.319784098
97,"Wichtig ist, beim Fahrradfahren eine möglichst gleichmäßige Belastung der Kontaktpunkte des Fahrers mit dem Fahrrad gemäß der natürlichen Anatomie des Menschen zu erreichen.",3,Fahrradfahren,10,2.1,0.737864787,6,2,0,9,2.111111111,0.600925213
98,"Dabei trägt naturgemäß der Fuß mit dem Kontaktpunkt Pedal den größten Teil des Körpergewichtes, und der Fuß ist von Natur auch dafür geschaffen, die Körperlast zu tragen.",3,Fahrradfahren,10,3,1.333333333,10,2.7,1.33749351,10,3.6,1.577621275
99,"Um die ergonomischste Rückenhaltung zu erreichen, sollte die Sitzhaltung idealerweise so sein, dass die imaginäre Linie zwischen Schulterblatt und höchstem Punkt des Pedals senkrecht ist.",3,Fahrradfahren,15,3.466666667,1.35576371,15,3,1.690308509,15,3.6,1.45405836
100,"Um eine optimale Versorgung der Füße und eine möglichst geringe Belastung der Knie zu erreichen, sollte die Sattelhöhe so eingestellt werden, dass beim Treten der Pedale am tiefsten Punkt das Bein immer noch leicht angewinkelt ist.",3,Fahrradfahren,10,4.6,1.264911064,10,3.7,1.946506843,10,5,1.414213562
101,Als zweitgrößte Belastungszone ist der Kontakt zwischen Gesäß und Sattel anzusehen.,3,Fahrradfahren,10,3.3,1.702938637,10,3.8,1.87379591,10,4.8,1.549193338
102,"Dieser Berührungspunkt kann insbesondere daher problematisch werden, da das menschliche Becken mit seinen Sitzbeinhöckern und dem Schambein (bzw den Schambeinkufen, auch Schambeinkamm genannt) durch den Kippwinkel des Beckens Auswirkungen auf die Biegung der gesamten Wirbelsäule hat.",3,Fahrradfahren,9,5.888888889,0.78173596,10,5.5,0.849836586,10,6.3,0.823272602
103,Somit kann eine falsche Beckenhaltung (zB um Missempfindungen aufgrund des Sattels zu vermeiden) zu einer starken Belastung der Wirbelsäule führen.,3,Fahrradfahren,10,3.7,1.251665557,10,3.9,1.663329993,9,4.888888889,0.78173596
104,"Gleichfalls problematisch wird ein falscher Beckenwinkel auf dem Sattel für den gesamten Beckenbereich, da dieser Bereich stark mit Blut- und Nervenbahnen durchzogen ist, die auf der Innenseite der Oberschenkel liegen und die die unteren Gliedmaße zu versorgen haben.",3,Fahrradfahren,10,5.2,1.475729575,10,3.9,1.595131482,10,5.2,1.475729575
105,"Werden diese Versorgungsbahnen durch ein Aufliegen des Schambeins bzw der Schambeinkufen / des Schambeinkamms auf dem Sattel längere Zeit eingeengt oder gar gequetscht, können dadurch Schädigungen der entsprechenden Gefäße und Versorgungsbahnen entstehen.",3,Fahrradfahren,10,6.3,0.823272602,10,4.9,1.449137675,10,6.1,1.100504935
106,"Daher ist es notwendig, die Hauptbelastung dieses Kontaktpunktes auf die Sitzhöcker zu bringen und möglichst wenig Druck auf den Bereich der Schambeinkufen, des Damms, der Genitalien und der innenliegenden obersten Teile der Oberschenkel auszuüben.",3,Fahrradfahren,8,4.75,1.035098339,9,3.888888889,1.615893286,8,5.25,0.707106781
107,Schließlich bilden die Hände mit dem Lenker den dritten Kontaktpunkt zwischen Radfahrer und Fahrrad.,3,Fahrradfahren,10,2.6,0.966091783,10,2.3,1.159501809,10,3,0.816496581
108,"Auch hier sind medizinische Aspekte zu beachten, um eine optimale Blut- und Nervenversorgung der Hände und Finger zu gewährleisten.",3,Fahrradfahren,12,2.666666667,1.07308674,10,1.8,0.918936583,11,2.545454545,1.035725481
109,"Dabei spielt die Entfernung des Lenkers zum Gesäß des Radfahrers genauso eine wichtige Rolle wie die Lenkerform (Biegung) und die Höhe des Lenkers, der optimalerweise in gleicher Höhe wie die Mitte der Beckenknochen sein sollte.",3,Fahrradfahren,6,4,0,9,3.333333333,1.118033989,9,4.555555556,0.881917104
111,Der Abstand zwischen beiden Händen (gemessen vom kleinen Finger der einen zum kleinen Finger der anderen Hand) sollte nur unwesentlich den Abstand der Schulterblätter übersteigen.,3,Fahrradfahren,14,3.357142857,1.549547967,14,3,1.664100589,14,3.142857143,1.406421693
112,"Die Hand sollte die gerade Verlängerung des Unterarms bilden und weder nach oben noch nach unten geknickt werden, um so durch das Handgelenk eine permanente und ungehinderte Blutversorgung der gesamten Hand sicherzustellen.",3,Fahrradfahren,10,4.7,1.418136492,10,3.9,1.91195072,10,4.6,1.646545205
113,"Wird das Gewicht gleichmäßig auf die drei Kontaktpunkte verteilt, entsteht ein zusätzlicher Druckpunkt an der Wirbelsäule zwischen den Schultern, dort wo die Arme ansetzen.",3,Fahrradfahren,15,3.133333333,1.302013093,15,3.466666667,1.407463101,15,3.6,1.4040757
114,"Als grobe Richtlinie sollten die imaginären Verbindungslinien der drei Kontaktpunkte und des Schulterblattes eine Raute darstellen, deren Seiten möglichst etwa gleich lang sein sollten.",3,Fahrradfahren,17,3.647058824,1.656093916,17,3.705882353,1.531531337,17,4.117647059,1.452685141
115,"Ein Geldautomat, Geldausgabeautomat (GAA), Bankautomat, Bankomat, Bancomat oder wie im Englischen ATM (Automated Teller Machine) ist ein technisches Gerät zur Bargeldabhebung in Selbstbedienung bei Geld- und Kreditinstituten vom eigenen Giro- oder Kreditkartenkonto (siehe auch Electronic Cash).",4,Geldautomat,11,2.727272727,1.190874392,11,2,1.341640786,11,3.181818182,1.401298099
117,"Der Geldausgabeautomat war – noch vor dem PC – das erste Computerterminal, das breiten Bevölkerungsschichten weltweit zugänglich war.",4,Geldautomat,8,2.125,0.991031209,7,1.428571429,0.534522484,9,2.555555556,1.130388331
118,In Deutschland hat sich der Begriff Geld(ausgabe)automat durchgesetzt.,4,Geldautomat,10,1.7,0.823272602,10,1.9,0.875595036,9,1.777777778,0.666666667
119,"In Österreich ist der Begriff Bankautomat bzw Bankomat etabliert, in der Schweiz und in Liechtenstein wird der Begriff Bancomat für Automaten, deren Betreiber eine Bank ist, sowie Postomat für Automaten der Post verwendet.",4,Geldautomat,10,3,1.414213562,10,2.4,1.505545305,8,3.875,0.640869944
120,"Im englischsprachigen Raum (UK) ist die Bezeichnung Cash Dispenser, (USA, Australien) Automated Teller Machine (englisch teller ‚Schalterbeamter‘) oder Automatic Teller Machine (ATM) oder wie in Kanada Automated Banking Machine (ABM) üblich.",4,Geldautomat,8,2.125,0.353553391,10,2.5,1.715938357,10,3.3,1.567021236
121,"Gebräuchlich sind Bezeichnungen wie Cash Machine, Money Machine, Cashpoint, Cashline oder bauartbezogen Hole in the Wall („Loch in der Wand“).",4,Geldautomat,9,2.666666667,1.118033989,8,2.125,0.83452296,8,2.625,0.916125381
123,Eine Unterteilung wird gleichfalls nach standortbedingter Bauform vorgenommen.,4,Geldautomat,9,3.444444444,1.589898669,9,4,1.802775638,9,4.333333333,1.658312395
127,Die Bezahlmöglichkeit per Karte und einen ähnlichen Aufbau sowie ähnliche Sicherheitsproblematik wie ein Geldautomat besitzen Fahrkartenautomaten und andere Selbstbedienungsautomaten.,4,Geldautomat,14,3.928571429,1.268814451,14,2.928571429,1.685425567,14,3.428571429,1.603567451
128,"Das Kernstück eines „GAA“ ist ein gepanzerter Tresor, der in Deutschland in der Regel vier Geldkassetten enthält, die jeweils 2800 Euro-Geldnoten aufnehmen können.",4,Geldautomat,9,2.777777778,0.666666667,10,3.2,1.316561177,10,3.9,1.370320319
129,Der Tresor ist in der Regel fest eingemauert oder auf andere Weise mit dem Boden oder der Wand armiert.,4,Geldautomat,15,2.2,0.774596669,14,2.357142857,1.008208072,14,2.642857143,1.150728389
130,"Weitergehende Sicherungsmaßnahmen können eine Videoüberwachung und eine Zugangskontrolle durch einen Türöffner sein, denn viele GAA befinden sich in Vorräumen der Geschäftsstellen der Banken, sodass sie auch außerhalb der Schalteröffnungszeiten zugänglich sind.",4,Geldautomat,10,3.8,1.316561177,10,3.8,2.1499354,10,4.6,1.577621275
132,"Die Softwareausstattung besteht aus einem üblichen Betriebssystem wie beispielsweise Windows XP, Gerätetreibern, einer Kommunikationsschicht (zB CEN/XFS oder J/XFS) und einer Anwendung, die den Geldautomaten steuert und die Kommunikation mit der Gegenstelle (Server/Host) organisiert.",4,Geldautomat,10,3.6,1.429840706,8,3.375,0.916125381,10,4.3,1.059349905
133,Frühe Geldautomaten wurden hardwarenah durch einen Großrechner gesteuert.,4,Geldautomat,8,2.25,1.035098339,9,2.333333333,1.118033989,9,3.111111111,1.691481928
134,Heutzutage sind neben einem Standard-PC auch PC-typische Betriebssysteme im Einsatz.,4,Geldautomat,7,2,0,10,2.5,1.433720878,10,3,1.56347192
135,"Im Jahr 2007 waren früh eingesetzte Betriebssysteme wie MS-DOS und OS/2 bei Geldautomaten bereits selten anzutreffen, während Microsoft Windows den Markt bei Geldautomaten zu dominieren begann.",4,Geldautomat,5,3.6,1.140175425,4,2.5,0.577350269,3,4,0
136,Linux-basierte Systeme sind zurzeit nur in wenigen lokalen Märkten wie Brasilien anzutreffen.,4,Geldautomat,6,2,0,6,2,0,10,2.3,0.823272602
137,"Viele Automaten verfügen mittlerweile über eine Sprachauswahl, damit der Kunde die Sprache auswählen kann, die der GAA auf dem Bildschirm anzeigt.",4,Geldautomat,11,2.090909091,0.831209415,10,1.6,0.516397779,11,2.272727273,1.190874392
