Sentence_Id,Article_ID,Article,Original_Sentence,Simplification,Rating
66,2,Badekultur,"Es gibt keine Belege, dass Gymnasia vor der römischen Zeit ihren Nutzern bereits heißes Wasser anboten, obwohl dieses zur Entfernung des Öls und Schmutzes besser geeignet gewesen wäre.","Es gibt keine Belege, dass in den Sporthallen vor der römischen Zeit heißes Wasser angeboten wurde. Heißes Wasser wäre aber zur Entfernung von Öl und Schmutz besser geeignet gewesen.",Etwas einfacher
67,2,Badekultur,"Die griechischen Sportstätten mit integrierten Bädern waren allerdings bereits zu diesem Zeitpunkt Begegnungsstätten, in denen man sich stundenlang aufhielt.",Die griechischen Sportstätten mit Bädern waren schon damals Orte in denen sich die Menschen begegneten. Außerdem hielten sich die Menschen dort viele Stunden lang auf.,Etwas einfacher
70,2,Badekultur,"Der griechische Komödiendichter Aristophanes (um 450 bis 380 v. Chr.) zweifelt in Die Wolken daran, ob die sich in warmen Bädern verweichlichenden Griechen noch über die Manneskraft verfügten, die ihre Vorfahren in der Schlacht bei Marathon erfolgreich sein ließen.","Der griechische Komödiendichter Aristophanes (um 450 bis 380 vor Christus) erklärte in ""Die Wolken"", dass die Griechen durch warme Bäder verweichlicht seien. Er zweifelte daran, dass ihre Manneskraft mit denen der Vorfahren in der Schlacht bei Marathon vergleichbar sei. ",Etwas einfacher
72,2,Badekultur,"Noch rigoroser in ihrer Ablehnung waren die Spartaner, die in ihrer Ablehnung warmer Bäder sich auf ihren mythischen Staatsgründer Lykurg beriefen und in ihnen eine Gefahr für die Kriegsfähigkeit ihres Staates sahen.",Die Spartaner lehnten warmer Bäder massiv ab.  Als Grund nannten sie ihren mythischen Staatsgründer Lykurg. Der sah darin eine mögliche Gefahr für die Kriegsfähigkeit ihres Staates.  ,Etwas einfacher
76,2,Badekultur,"Außerdem waren bereits zahlreiche Heilquellen bekannt, von denen viele Göttern geweiht waren.",Zahlreiche Heilquellen waren bekannt. Diese wurden den Göttern geweiht.,Etwas einfacher
80,3,Fahrradfahren,"Der Ausdruck Fahrradfahren – auch Radfahren oder Radeln, schweizerisch Velofahren – bezeichnet die Fortbewegung auf einem Fahrrad, sei es als Verkehrsmittel im Radverkehr oder als Sportart, die als Freizeitbeschäftigung, zur Erhaltung der Gesundheit oder als sportlicher Wettkampf bis hin zum Leistungssport betrieben wird.","Fahrradfahren ist die Fortbewegung auf einem Fahrrad. Man sagt auch Radfahren oder auf schweizerisch Velofahren dazu. Fahrradfahren beschreibt die Verwendung von Fahrrädern im Verkehr und als Sportart. Man kann Fahrradfahren in der Freizeit, zur Erhaltung der Gesundheit oder als Sportart betreiben.",Deutlich einfacher
88,3,Fahrradfahren,"Die Französin Barbara Buatois fuhr mit einem vollverkleideten Liegerad am 19. Juli 2009 im US-amerikanischen Romeo eine Strecke von 84,02 km, womit sie als erste Frau eine Strecke von mehr als 80 km in einer Stunde mit einem Liegerad zurücklegte.","Die Französin Barbara Buatois fuhr mit einem Liegerad am 19. Juli 2009 in Romeo (in der USA) 84,02 km weit. Damit war sie die erste Frau, die in einer Stunde mehr als 80 Kilometer mit einem Liegerad gefahren ist.",Deutlich einfacher
91,3,Fahrradfahren,Der Fahrer hält das System Fahrrad/Fahrer mit kleinen Lenkausschlägen im Gleichgewicht.,Der Fahrer hält sich mit leichte Lenken im Gleichgewicht.,Deutlich einfacher
93,3,Fahrradfahren,Generell gilt Fahrradfahren als sehr gesund (Herz- und Kreislauftraining)[3] und gelenkschonend.,Fahrradfahren gilt als sehr Gesund für das Herz und den Kreislauf. Außerdem schont es die Gelenke.,Etwas einfacher
96,3,Fahrradfahren,"Untersuchungen unter anderem des ADFC haben ergeben, dass die Haltung auf dem sogenannten Reiserad bei richtiger Rahmengröße und richtigem Sattel die Haltung ist, die der menschlichen Anatomie am stärksten entgegenkommt.","Untersuchungen von dem ADFC zum Beispiel haben gezeigt, dass die beste Haltung beim Fahrradfahren die ist, wenn der Rahmen die richtige Größe hat und der richtige Sattel benutzt wird. Die Haltung ist am besten, wenn sie an den Körperbau der Menschen angepasst ist.",Etwas einfacher
100,3,Fahrradfahren,"Um eine optimale Versorgung der Füße und eine möglichst geringe Belastung der Knie zu erreichen, sollte die Sattelhöhe so eingestellt werden, dass beim Treten der Pedale am tiefsten Punkt das Bein immer noch leicht angewinkelt ist.","Damit die Füße bestmöglich versorgt und die Knie nur wenig belastet werden, sollte man den Sattel richtig einstellen. Am besten ist es, wenn das Bein beim Treten der Pedale nie ganz gestreckt wird. Auch am tiefsten Punkt sollte das Bein also immer noch leicht angewinkelt werden. ",Deutlich einfacher
101,3,Fahrradfahren,Als zweitgrößte Belastungszone ist der Kontakt zwischen Gesäß und Sattel anzusehen.,Neben den Füßen wird beim Radfahren auch das Gesäß belastet.,Etwas einfacher
102,3,Fahrradfahren,"Dieser Berührungspunkt kann insbesondere daher problematisch werden, da das menschliche Becken mit seinen Sitzbeinhöckern und dem Schambein (bzw. den Schambeinkufen, auch Schambeinkamm genannt) durch den Kippwinkel des Beckens Auswirkungen auf die Biegung der gesamten Wirbelsäule hat.","Das menschliche Becken besitzt Sitzbeinhöcker und Schambein bzw. Schambeinkufen (auch Schambeinkamm genannt), die beim Fahrradfahren gekippt werden. Dieser Kippwinkel hat Auswirkungen auf die Biegung der gesamten Wirbelsäule. Deshalb kann dieser Berührungspunkt problematisch sein.",Deutlich einfacher
103,3,Fahrradfahren,Somit kann eine falsche Beckenhaltung (z.B. um Missempfindungen aufgrund des Sattels zu vermeiden) zu einer starken Belastung der Wirbelsäule führen.,Dadurch kann eine falsche Haltung vom Becken zu einer starken Belastung der Wirbelsäule führen.,Etwas einfacher
104,3,Fahrradfahren,"Gleichfalls problematisch wird ein falscher Beckenwinkel auf dem Sattel für den gesamten Beckenbereich, da dieser Bereich stark mit Blut- und Nervenbahnen durchzogen ist, die auf der Innenseite der Oberschenkel liegen und die die unteren Gliedmaße zu versorgen haben.",Genauso problematisch ist ein falscher Winkel von dem Becken auf dem Sattel für den gesamten Beckenbereich.  Dieser Bereich ist stark mit Blut- und Nervenbahnen durchzogen. Diese liegen auf der Innenseite der Oberschenkel und versorgen die unteren Gliedmaßen.,Deutlich einfacher
105,3,Fahrradfahren,"Werden diese Versorgungsbahnen durch ein Aufliegen des Schambeins bzw. der Schambeinkufen / des Schambeinkamms auf dem Sattel längere Zeit eingeengt oder gar gequetscht, können dadurch Schädigungen der entsprechenden Gefäße und Versorgungsbahnen entstehen.","Wenn man falsch auf dem Sattel sitzt, werden einige Versorgungsbahnen im Körper eingeengt oder gequetscht. Damit können diese Versorgungsbahnen und Gefäße geschädigt werden.",Deutlich einfacher
106,3,Fahrradfahren,"Daher ist es notwendig, die Hauptbelastung dieses Kontaktpunktes auf die Sitzhöcker zu bringen und möglichst wenig Druck auf den Bereich der Schambeinkufen, des Damms, der Genitalien und der innenliegenden obersten Teile der Oberschenkel auszuüben.","Deshalb ist es wichtig, so auf dem Sattel zu sitzen, dass wenig Druck ist auf den Schambeinkufen (einem Knochen im unteren Bereich der Hüfte), dem Damm, den Geschlechtsteile und den Oberschenkeln.",Deutlich einfacher
109,3,Fahrradfahren,"Dabei spielt die Entfernung des Lenkers zum Gesäß des Radfahrers genauso eine wichtige Rolle wie die Lenkerform (Biegung) und die Höhe des Lenkers, der optimalerweise in gleicher Höhe wie die Mitte der Beckenknochen sein sollte.","Wichtig ist der Abstand zwischen Lenker und Gesäß, die richtige Lenkerform (Biegung) und dass die Höhe des Lenkers richtig eingestellt ist. Am besten sollte der Lenker genau auf der Höhe der Mitte der Beckenknochen sein.",Deutlich einfacher
112,3,Fahrradfahren,"Die Hand sollte die gerade Verlängerung des Unterarms bilden und weder nach oben noch nach unten geknickt werden, um so durch das Handgelenk eine permanente und ungehinderte Blutversorgung der gesamten Hand sicherzustellen.",Die Hand sollte gerade zum Unterarm sein und nicht nach oben oder unten geknickt werden. So kann die gesamte Hand mit Blut versorgt werden.,Deutlich einfacher
114,3,Fahrradfahren,"Als grobe Richtlinie sollten die imaginären Verbindungslinien der drei Kontaktpunkte und des Schulterblattes eine Raute darstellen, deren Seiten möglichst etwa gleich lang sein sollten.",Als grobe Richtlinie sollten die gedachten Verbindungslinien der drei Kontaktpunkte und des Schulterblattes eine Raute darstellen. Deren Seiten sollten möglichst gleich lang sein.,Etwas einfacher
123,4,Geldautomat,Eine Unterteilung wird gleichfalls nach standortbedingter Bauform vorgenommen.,Die Bezeichnung richtet sich nach dem Standort und der Bauform.,Etwas einfacher
130,4,Geldautomat,"Weitergehende Sicherungsmaßnahmen können eine Videoüberwachung und eine Zugangskontrolle durch einen Türöffner sein, denn viele GAA befinden sich in Vorräumen der Geschäftsstellen der Banken, sodass sie auch außerhalb der Schalteröffnungszeiten zugänglich sind.","Viele Geldautomaten befinden sich bei Banken im Vorraum. So können sie auch genutzt werden, wenn die Bankschalter geschlossen sind.  Um es dort sicherer zu machen, gibt es Videoüberwachung und eine Kontrolle durch einen Türöffner.",Etwas einfacher
132,4,Geldautomat,"Die Softwareausstattung besteht aus einem üblichen Betriebssystem wie beispielsweise Windows XP, Gerätetreibern, einer Kommunikationsschicht (z.B. CEN/XFS oder J/XFS) und einer Anwendung, die den Geldautomaten steuert und die Kommunikation mit der Gegenstelle (Server/Host) organisiert.","Die Softwareausstattung besteht aus einem normalen Betriebssystem, einer Kommunikationsebene und einer Anwendungsebene.",Etwas einfacher
138,4,Geldautomat,"Für den barrierefreien Zugang verfügen einige GAA über größere Tasten und Displays sowie über einen Kopfhöreranschluss oder Lautsprecher zur Sprachausgabe, um Menschen mit einer Sehbehinderung die Bedienung zu erleichtern oder überhaupt erst möglich zu machen.","Für den barrierefreien Zugang verfügen einige Automaten über große Tasten und Displays. Sie verfügen auch über einen Kopfhöreranschluss oder Lautsprecher zur Sprachausgabe. Dadurch ist es möglich, dass Menschen mit einer Sehbehinderung den Automaten bedienen können. ",Etwas einfacher
142,4,Geldautomat,Bei einigen Automaten wurde die Greifhöhe abgesenkt; Tastatur und Ein/Ausgabe-Schächte befinden sich in einem geringeren Abstand zum Boden als bei Standardgeräten.,Einige Automaten wurden niedriger angebracht. Die Tastatur und alle anderen Elemente und sind jetzt besser erreichbar als normale Bankautomaten.,Deutlich einfacher
169,5,Schallplatte,Der seit dem Produktionsende der Grammophonplatten wesentlich geläufigere Begriff Schellackplatte grenzt diesen älteren Tonträger deutlich von der späteren Schallplatte aus Polyvinylchlorid ab.,"Zum Produktionsende des Grammophons wurden die Tonträger Schellackplatten genannt. 
Damit wird die Bezeichnung der Schallplatten aus Polyvinylchlorid auch deutlich von den älteren Tonträgern abgegrenzt.",Etwas einfacher
170,5,Schallplatte,"Die Signale sind in einer vom Rand der Platte spiralförmig nach innen verlaufenden Rille gespeichert, deren Flanken die Schallschwingung des gespeicherten Signals abbilden.",Die Signale werden in einer Rille gespeichert. Die Rille verläuft vom Rand der Platte in Spiralen-Form nach innen. Die Seiten der Rille bilden die Schall-Schwingung des gespeicherten Signals ab.,Deutlich einfacher
171,5,Schallplatte,Bei der Wiedergabe wird die Abtastspitze eines Tonabnehmers entsprechend ausgelenkt.,Die Abtastspitze des Tonabnehmers wird durch die Rille geführt und bewegt sich hin und her.,Etwas einfacher
172,5,Schallplatte,Die Rückverwandlung in hörbare Schallsignale kann rein mechanisch über eine Membran und einen Schalltrichter oder – bei heute üblichen Plattenspielern – auf elektromechanischem Weg mit anschließender elektronischer Verstärkung erfolgen.,Die Rückverwandlung in hörbare Schall-Signale kann rein mechanisch über eine Membran und einen Schalltrichter erfolgen. Oder wie bei heute üblichen Plattenspielern auf elektromechanischem Weg mit anschließender elektronischer Verstärkung.,Etwas einfacher
174,5,Schallplatte,"Ihm gelang es 1860, das französische Kinderlied Au clair de la lune mit Hilfe eines großen Trichters einzufangen und mit einer Membran, die die Schwingungen auf eine Schweineborste übertrug, auf eine rußgeschwärzte Walze zu kratzen.","1860 gelang es ihm, ein französisches Kinderlied mit Hilfe eines großen Trichters einzufangen. Eine Membran übertrug die Schwingungen auf eine Schweineborste. So wurde das Lied auf eine rußgeschwärzte Walze gekratzt.",Deutlich einfacher
178,5,Schallplatte,"Die Töne wurden zunächst in eine Zinnfolie geritzt, später auf einer Phonographenwalze mit wendelförmiger Tonspur in Höhenschrift gespeichert, wobei das Prinzip der Amplitudenauslenkung auch hier unmittelbar akustisch (Membran/Trichter) genutzt wurde.",Die Töne wurden zunächst in eine Zinnfolie geritzt. Später wurden sie auf einer Phonographenwalze mit wendelförmiger Tonspur in Höhenschrift gespeichert. Das Prinzip der Amplitudenauslenkung wurde auch hier unmittelbar akustisch genutzt. Dies geschah mit einer Membran oder einem Trichter.,Deutlich einfacher
180,5,Schallplatte,"Bereits im Jahre 1880 machte der US-amerikanische Physiker Charles Sumner Tainter (Columbia Graphophone Company) die Entdeckung, dass viele technische Nachteile der Edisonischen Walzen (umständliche Handhabung und aufwändige Vervielfältigung) beseitigt werden könnten, wenn man die Tonspur spiralförmig in die Oberfläche einer flachen, runden Scheibe eingraviert.","Bereits 1880 machte der US-amerikanische Physiker Charles Sumner Tainter (Columbia Graphophone Company) die Entdeckung, dass viele technische Nachteile der Edisonischen Walzen beseitigt werden könnten. Man könnte die Nachteile beseitigen, wenn man die Tonspur spiralförmig in die Oberfläche einer flachen, runden Scheibe eingraviert.",Etwas einfacher
186,5,Schallplatte,Als Geschäftsmann sah auch er in der umständlichen – und damit teuren – Vervielfältigung der Walzen den entscheidenden Schwachpunkt des Phonographen und verwendete seine Zeit und Mühe vorrangig auf die Lösung dieses Problems.,Er sah auch in der schwierigen und teuren Herstellung der Walzen einen wichtigen Schwachpunkt des Phonographen. Ein Phonograph ist eine Maschine zum Abspielen von Musik von Walzen. Er verwendete seine Zeit und Mühe vor allem auf die Lösung dieses Problems.,Deutlich einfacher
188,5,Schallplatte,"Er konstruierte ein Gerät, das die Schallwellen nicht wie bei Edisons Höhenschrift-Phonographen in vertikaler, durch Auf-und-ab-Bewegung des Schneidstichels entstehender Modulation speicherte, sondern die Rille horizontal auslenkte; die mechanischen Schwingungen ließ er eine Stahlnadel schneckenförmig in eine dick mit Ruß überzogene Glasplatte einritzen.","Er konstruierte ein Gerät, das die Schallwellen horizontal auslenkte - und nicht mehr, wie bei Edisons Höhenschrift-Phonographen, vertikal. Die horizontal ausgelenkten Schallwellen verursachten eine mechanische Schwingung. Mit dieser Schwingung ritzte eine  Stahlnadel schneckenförmig eine Rille auf eine Glasplatte, die zuvor dick mit Ruß beschichtet worden war.",Etwas einfacher
189,5,Schallplatte,"Nach chemischer Härtung des Rußes war er in der Lage, auf galvanoplastischem Wege ein Zink-Positiv und von diesem ein Negativ der Platte anzufertigen, das als Stempel zur Pressung beliebig vieler Positive genutzt werden konnte – die Schallplatte war erfunden.",Nachdem der Ruß chemisch gehärtet wurde konnte er eine Druckvorlage für die Platte herstellen. Mit dieser Vorlage konnte man beliebig viele Platten drucken. Damit erfand er die Schallplatte.,Deutlich einfacher
194,5,Schallplatte,"In den folgenden Monaten entwickelte Berliner in Zusammenarbeit mit dem Techniker Werner Suess sein Verfahren weiter, indem er das rußbeschichtete Glas durch eine mit Wachs überzogene Zink- oder Kupferplatte ersetzte.",In den folgenden Monaten entwickelte Berliner gemeinsam mit dem Techniker Werner Suess sein Verfahren weiter. Das mit Ruß beschichtete Glas wurde ersetzt durch eine mit Wachs überzogene Platte aus Zink oder Kupfer.,Etwas einfacher
195,5,Schallplatte,"Nach der Gravur der Schallrille in die Wachsschicht wurde die Platte einem Säurebad ausgesetzt, das die noch mit Wachs bedeckten Teile der Platte nicht angriff, die freigelegten Rillen aber in das Metall einätzte, so dass nach Entfernung des Wachses eine haltbare metallene Urplatte entstand, die zur Herstellung der Pressmatrizen verwendet werden konnte.","Nach dem gravieren der Schallrille in die Wachsschicht wurde die Platte in Säure gelegt. Die Säure griff die Teile der Platte die mit Wachs bedeckt waren nicht an, aber ätzte die freigelegten Rillen in das Metall ein. So entstand nach der Entfernung des Wachses eine haltbare Platte (Urplatte). Diese konnte zur Herstellung der weiteren Pressungen verwendet werden.",Deutlich einfacher
197,5,Schallplatte,Der zeittypischen Vorliebe für Gräzismen folgend nannte er es Grammophon (sinngemäß: „geschriebener Laut“).,"Weil in der Zeit griechische Wörter sehr beliebt waren, nannte er es Grammophon (übersetzt: ""geschriebener Laut"").",Deutlich einfacher
199,5,Schallplatte,"Zunächst verwendete er als Pressmasse Zelluloid, das er unmittelbar vom Erfinder dieses Werkstoffs, John W. Hyatt, bezog und das sich bald als technisch ungeeignet erwies.","Am Anfang verwendete er zum Pressen das Material Zelluloid. Er bekam es von dem Erfinder, John W. Hyatt. Aber das Material erwies sich bald als ungeeignet.",Etwas einfacher
201,5,Schallplatte,"Im Juli 1889 kam Berliner aufgrund materialkundlicher Versuche zu dem Schluss, dass vulkanisiertes Hartgummi als Pressmaterial die günstigsten Eigenschaften aufweise, und erachtete seine Erfindung für ausgereift genug, um den Beginn der Serienproduktion einzuleiten.","Im Juli 1889 kam Berliner durch Versuche mit unterschiedlichem Material zu dem Schluss, dass vulkanisiertes Hartgummi als Material zum Pressen am besten geeignet war. Er fand seine Erfindung gut genug um mit der Serien-Produktion zu beginnen.",Etwas einfacher
202,6,Spielwürfel,"Ein Spielwürfel, umgangssprachlich einfach (wie auch ursprünglich) Würfel (von althochdeutsch wurfil: verwandt mit Wurf und werfen[1]), ist ein Gegenstand, der nach einem Wurf auf einer waagerechten Ebene eine von mehreren unterscheidbaren stabilen Ruhelagen einnimmt und in vielen Spielen zum Erzeugen eines zufälligen Symbols (oft einer Zufallszahl) dient.","Ein Spielwürfel ist ein Gegenstand, der nach einem Wurf auf einer geraden Fläche in einer von mehreren Positionen liegen bleibt. Spielwürfel (oder auch Würfel) werden in vielen Spielen benutzt, um ein zufälliges Symbol oder eine Zahl zu erhalten.",Deutlich einfacher
205,6,Spielwürfel,"Die mit Abstand meistverbreiteten Spielwürfel sind jene mit den Ziffern 1 bis 6 oder entsprechend vielen Punkten, den Augen, beschriftete Kuben oder Hexaeder.","Die meisten Spielwürfel haben Ziffern (1 bis 6) oder entsprechend viele Punkte, auch Augen genannt. Die Ziffern oder Punkte befinden sich auf einem normalen Würfel (Kubus) oder einem sechsflächigen Würfel (Hexaeder).",Etwas einfacher
208,6,Spielwürfel,"Regelmäßige Benutzer unterschiedlicher Würfeltypen bezeichnen diese häufig mit der Abkürzung W, oder auch d für englisch dice (Einzahl auch die),[2] gefolgt von der Angabe der Seitenanzahl, also W6 oder D6 für sechsseitige, W10, W20, W30 für zehn-, zwanzig- und dreißigseitige Spielwürfel.","Unterschiedliche Würfeltypen werden häufig mit der Abkürzung W bezeichnet. (englisch D für dice). Es folgt die Angabe der Seitenzahl der Spielwürfel.
Beispielsweise W6 oder D6 (englisch) für sechsseitige Würfel. W 10 für zehnseitige Würfel. W20 für zwanzigseitige Würfel und W30 für dreissigseitige Würfel.",Etwas einfacher
209,6,Spielwürfel,"In Würfelspielen sind Würfel das zentrale Spielelement, es zählen nur der Vergleich der Würfelergebnisse selbst oder direkt mit ihnen zusammenhängendes Taktieren.",Würfel sind das zentrale Spielelement von Würfelspielen.  Als Ergebnis zählt die gewürfelte Augenzahl oder vorher festgelegte Würfelmuster.,Deutlich einfacher
214,6,Spielwürfel,"Darüber hinaus sind Würfel in einer Vielzahl von Brettspielen bedeutend, um etwa die Bewegungsgeschwindigkeit von Spielfiguren oder den Ausgang von Zufallsereignissen zu bestimmen.",Außerdem sind Würfel wichtig für viele Brettspiele. Zum Beispiel um die Bewegung von Spielfiguren oder das Ergebnis von zufälligen Entscheidungen zu bestimmen.,Deutlich einfacher
216,6,Spielwürfel,"Verwendung finden Würfel in Rollenspielen, bei denen sich in den letzten Jahrzehnten die Verwendung einer Vielzahl weiterer Würfel mit anderen Seitenzahlen durchgesetzt hat, um die Zufallsentscheidungen flexibler und vielfältiger zu gestalten.",Auch in Rollenspielen wird gewürfelt. In den letzten Jahren wurden dafür neue Würfel entwickelt. Sie haben mehr oder weniger Seiten als die klassischen Würfel. Dadurch werden die Spiele interessanter.,Deutlich einfacher
217,6,Spielwürfel,"Ein eher seltenes, komplett auf Würfel als Spielmaterial setzendes Spielprinzip ist das der Sammelwürfelspiele, bei denen man analog zu Sammelkartenspielen eine Vielzahl von Würfeln käuflich erwerben und taktisch einsetzen muss.","Sammelwürfelspiele sind Spiele, die nur Würfel benutzen. Bei diesen Spielen muss man wie bei Sammelkartenspielen Würfel kaufen und taktisch einsetzen.",Deutlich einfacher
220,6,Spielwürfel,"Dabei können die Ergebnisse addiert werden (eine Waffe in einem Rollenspiel richtet soviel Schaden an, wie zwei Würfel zusammen anzeigen) oder als Ensemble betrachtet werden (bei vielen Brettspielen folgen besondere Aktionen, wenn mehrere Würfel die gleiche Zahl zeigen, bei einem sogenannten Pasch).","Dabei können Ergebnisse addiert oder zusammengehörendend betrachtet werden. Eine Waffe richtet dabei in einem Rollenspiel soviel Schaden an, wie zwei Würfel zusammen anzeigen. Wenn mehrere Würfel die gleiche Zahl anzeigen (sogenannter Pasch) folgen bei vielen Brettspielen besondere Aktionen. ",Etwas einfacher
221,6,Spielwürfel,"Um das Werfen mehrerer Würfel zu vereinfachen, Schummeln durch Trickwürfe zu vermeiden oder das Ergebnis vor anderen Spielern zu verbergen, kommen Würfelbecher (Knobelbecher genannt) zum Einsatz.","Damit man einfacher mehrere Würfel werfen kann, werden Würfelbecher (Knobelbecher) benutzt. Außerdem vermeidet man Schummeln und kann das Ergebnis vor anderen Spielern verbergen.",Etwas einfacher
225,6,Spielwürfel,"Um laute Aufprallgeräusche und ein Wegrollen der Würfel zu vermeiden, wird manchmal ein gepolstertes und berandetes Brett (Würfelbrett oder Würfelteller genannt) eingesetzt.",Damit die Würfel nicht laut aufprallen und wegrollen wird manchmal ein gepolstertes Brett mit Rand eingesetzt. Dieses Brett nennt man Würfelbrett oder Würfelteller.,Deutlich einfacher
226,6,Spielwürfel,"Statt mit ihnen zu würfeln, also Zufallsergebnisse zu erzeugen, können Würfel gezielt auf bestimmte Werte gedreht und so zu deren Anzeige genutzt werden.",Man muss mit Würfeln nicht würfeln. Man kann sie auch einfach auf eine bestimmte Seite drehen. Dann wird oben die gewünschte Zahl angezeigt.,Deutlich einfacher
229,6,Spielwürfel,"Als Zufallsgenerator eingesetzt, wird von einem Würfel üblicherweise eine Gleichverteilung der möglichen Ergebnisse erwartet.","Man erwartet von einem Würfel, dass alle Ergebnisse gleich wahrscheinlich sind. ",Deutlich einfacher
234,6,Spielwürfel,"Wenn man von diesen Abweichungen absieht, dann ist Idealität eine Eigenschaft des Bauplans des Würfels, also unter anderem seiner geometrischen Form.",Die ideale Funktionsweise eines Würfels wird durch seine geometrische Form bestimmt. ,Deutlich einfacher
235,6,Spielwürfel,"Der Bauplan ist genau dann ideal, wenn die Ruhepositionen des Würfels aufgrund seiner Symmetrie erst durch eine Beschriftung unterscheidbar werden.","Ein Würfel ist dann gut, wenn er von allen Seiten gleich aussieht. Nur die Beschriftung soll sich unterscheiden.",Deutlich einfacher
241,6,Spielwürfel,"Bei einigen Formen kann man versuchen, dies durch die richtige Wahl der Größenverhältnisse auszugleichen, etwa durch Streckung der Seitenflächen beim nebenstehenden Prisma als siebenseitiger Würfel.","Bei manchen Formen kann man versuchen die Wahrscheinlichkeit, dass eine Form auf einer Fläche landet auszugleichen. Zum Beispiel indem man eine Seitenfläche verlängert.",Deutlich einfacher
